Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings
0,कुन्ती,,श्रेष्ठ,kunti,,shreshtha,"kunti . shreshtha, kunti  shreshthaa, kunti shreshth"
0,चिन,माया,तामाङ,Chin,Maya,Tamang,"C. Tamang, Chin Maya Taamaang, Chin Maya Tamang"
1,कन्हैया,लाल,कलवार,Kanhaiya,Lal,Kalwar,"Kanhaiya Lal Kaalwaar, Kanhaiya Lal Kalwar, K. Kalwar"
0,पवित्रा,,साउद,Pavitra,,Saud,"Pavitra Sau, Pavitra  Saud, Pavitra  Saaud"
1,कुल,बहादुर,बोगटी,Total,brave,hero,"Total brave hero, Total her, Total ero"
0,बासु,,दमाइ,Basu,,Damai,"Basu . Damai, B. Damai, Basu Damai"
1,रिम,बहादुर,सोमै,Rim,Bahadur,Somai,"Rim Bahadur Somaai, R. Somai, Rim Bahadur Somai"
1,राम,बहादुर,गाहा,Ram,Bahadur,Gaha,"Ram Gaa, R. Gaha, Ram Bahadur Gaahaa"
0,रानीवती,देवी,दास,Raniwati,Devi,Das,"Raniwati Da, Raniwati Devi Daas, R. Das"
1,गया,प्रसाद,थारु,Gaya,Prasad,Tharu,"Gaya Thar, Gaya Tharu, Gaya Taru"
0,कमला,पोख्रेल,क्षेत्री,Kamala,Pokhrel,Kshetriya,"K. Kshetriya, Kamala Pokhrel Kshetriya, Kamala Kshetriya"
0,धनमन्ति,देवी,सुतिहार,Dhanmanti,Devi,Sutihar,"Dhanmanti Sutiar, Dhanmanti Devi Sutihar, Dhanmanti Devi Sutihaar"
1,हरिवंश,कुमार,मंडल,Harivansh,Kumar,Mandal,"Harivansh Mandal, Harivansh Manda, Harivansh K. Mandal"
0,साधना,,थारु,sadhana,,tharu,"sadhana tharu, sadhana  thaaru, sadhana thar"
0,सविना,,राई,Savina,,Rye,"Savina Ry, Savina Rye, Savina  Rie"
1,राधे,श्याम,थारु,Radhe,Shyam,Tharu,"Radhe Taru, Radhe Shyam Tharu, Radhe S. Tharu"
0,राम,माया,राई,Ram,Maya,Rai,"Ram M. Rai, Ram Maya Raai, Ram Ra"
1,टंक,बहादुर,काफ्ले,Tank,Bahadur,Caravan,"Tank Carava, Tank Bahadur Caaraavaan, Tank B. Caravan"
0,कल्पना,,खत्री,Kalpana,,Khatri,"Kalpana Khatri, Kalpana  Khatri, Kalpana . Khatri"
0,दुर्गा,,शाही,Durga,,Shahi,"Durga Shah, Durga  Shaahi, Durga Shahi"
0,सिन्धु,,पन्थी,Sindhu,,Panthi,"Sindhu Panth, Sindhu  Panthi, S. Panthi"
0,भगवती,,न्यौपाने,Bhagwati,,Nyupane,"Bhagwati  Nyupaane, Bhagwati  Niupane, B. Nyupane"
0,ललीता,,बम,Lalitha,,Bomb,"Lalitha  Bomb, Lalitha . Bomb, L. Bomb"
1,संजिव,कुमार,साह,Sanjeev,Kumar,Sah,"S. Sah, Sanjeev K. Sah, Sanjeev Sah"
0,चन्द्र,कला,बराल,Chandra,Kala,Baral,"Chandra Kala Baral, Chandra Bara, Chandra Kala Baaraal"
0,दिर्घ,माया,पुलामी,dirgha,maya,pulami,"d. pulami, dirgha pulam, dirgha pulami"
0,इन्दु,,पौदार,indu,,paudar,"indu . paudar, indu  paaudaar, indu pauda"
0,पार्भती,देवी,थापा,Parbati,Devi,Thapa,"Parbati Devi Thaapaa, Parbati Devi Thapa, Parbati Tapa"
1,लाल,बहादुर,राई,Lal,Bahadur,Rai,"Lal Ra, Lal Bahadur Rai, Lal Bahadur Raai"
1,प्रेम,बहादुर,मगर,Prem,Bahadur,Magar,"Prem Magar, Prem Bahadur Maagaar, Prem Bahadur Magar"
1,राजेश्वर,,राय,Rajeswar,,Rai,"Rajeswar . Rai, Rajeswar  Rai, Rajeswar Rai"
0,हिरा,,ठकुरी,Hira,,Thakuri,"H. Thakuri, Hira Thakur, Hira  Thakuri"
0,नन्द,कला,पुरी,Nand,Kala,Puri,"Nand Puri, Nand Kala Puri, Nand Pur"
0,यज्ञ,कुमारी,कार्की,Yagya,Kumari,Karki,"Y. Karki, Yagya Karki, Yagya Kumari Kaarki"
0,बशन्ति,,सिंह,Basanti,,Singh,"Basanti Sing, Basanti . Singh, B. Singh"
1,भानी,लाल,लाबड,Bhaani,Lal,Labd,"Bhaani Lal Labd, Bhaani Lab, B. Labd"
0,भगवती,,न्यौपाने,Bhagwati,,Nyupane,"Bhagwati Nyupan, B. Nyupane, Bhagwati  Niupane"
1,नारायण,प्रशाद,तिरुवा,Narayan,Prasad,Tiruva,"Narayan Prasad Tiruvaa, Narayan P. Tiruva, N. Tiruva"
1,प्रविन,कुमार,थन्दार,Pravin,Kumar,Thandar,"Pravin Thandar, Pravin K. Thandar, Pravin Thanda"
0,कली,,नेपाली,Bud,,Nepali,"Bud . Nepali, Bud Nepali, B. Nepali"
1,गंग,बहादुर,कोईराला,Ganga,Bahadur,Koirala,"Ganga B. Koirala, Ganga Koirala, Ganga Bahadur Koirala"
0,रन्जना,,मिश्र,Ranjana,,Mishra,"Ranjana  Mishraa, R. Mishra, Ranjana Misra"
1,धन,बहादुर,रावल,Dhan,Bahadur,Rawal,"D. Rawal, Dhan B. Rawal, Dhan Bahadur Raawaal"
1,राम,देव,मंडल,Ram,Dev,Mandal,"Ram D. Mandal, Ram Dev Mandal, Ram Dev Maandaal"
1,पोख,राज,उप्रेती,Pokh,Raj,Upreti,"Pokh Raj Upreti, Pokh Upret, Pokh R. Upreti"
1,राम,चन्‍द्र,कोइरी,Ram,Chandra,Koiri,"Ram Koiri, Ram Chandra Koiri, R. Koiri"
1,प्रविण,कुमार,महरा,Pravin,Kumar,Mehra,"Pravin Mehr, Pravin Kumar Mehraa, Pravin Mehra"
0,सोन,केशरी,चौधरी,Son,Keshri,Chowdhary,"S. Chowdhary, Son Keshri Chowdhary, Son Chowdhary"
0,अमृता,कुमारी,माझी,Amrita,Kumari,Majhi,"A. Majhi, Amrita K. Majhi, Amrita Majh"
0,बुद्धी,माया,गोले,Buddhi,Maya,Gole,"Buddhi M. Gole, B. Gole, Buddhi Gol"
1,पुरन,,राई,Puran,,Rye,"P. Rye, Puran Rye, Puran  Rye"
1,गंगाराम,,मण्डल,Gangaram,,Mandal,"Gangaram Manda, G. Mandal, Gangaram Mandal"
0,सबिना,,नगरकोटी,Sabina,,Nagarkoti,"Sabina  Naagaarkoti, S. Nagarkoti, Sabina Nagarkot"
0,भिमा,,खड्का,Bhima,,Khadka,"Bhima Khadk, B. Khadka, Bhima  Khadka"
1,मेजर,मान,श्रेष्‍ठ,Major,Mann,Shrestha,"Major Mann Shrestha, Major Shrestha, Major M. Shrestha"
0,आरती,,पाल,Aarti,,Pal,"Aarti Pa, Aarti Pal, Aarti  Paal"
1,सविन,,तिवारी,Savin,,Tiwari,"Savin . Tiwari, S. Tiwari, Savin Tiwari"
1,रते,,रोकाया,Rate,,Rokaya,"Rate  Rokaia, Rate Rokaya, Rate . Rokaya"
0,मनसरा,,विश्वकर्मा,Mansara,,Vishwakarma,"M. Vishwakarma, Mansara Viswakarma, Mansara Vishwakarma"
1,फुर्वा,तेम्वा,शेर्पा,phurwa,temwa,sherpa,"phurwa temwa sherpaa, phurwa sherpa, p. sherpa"
1,बल,बहादुर,राना,bal,bahadur,rana,"bal rana, b. rana, bal ran"
0,सिर्जना,कुमारी,रेग्मी,Srijan,Kumari,Regmi,"S. Regmi, Srijan Kumari Regmi, Srijan K. Regmi"
0,मनकुमारी,,खवास,Mankumari,,Khawas,"M. Khawas, Mankumari . Khawas, Mankumari Khawas"
0,प्रमिला,देवी,झागड,Pramila,Devi,Jhagad,"P. Jhagad, Pramila Jagad, Pramila Jhaga"
1,भिम,बहादुर,कसेरा,Bhim,Bahadur,Kasera,"Bhim Bahadur Kaaseraa, Bhim B. Kasera, Bhim Kaser"
0,अनिता,कवर,थारु,anita,cover,tharu,"anita cover tharu, a. tharu, anita taru"
0,फुल,माया,सुनुवार,full,maya,sunuwar,"full m. sunuwar, full sunuwar, full maya sunuwar"
0,अल्बिना,,बडाल,Albina,,Badal,"Albina Bada, A. Badal, Albina . Badal"
1,जहीर,,खान,zaheer,,khan,"zaheer . khan, z. khan, zaheer kha"
1,लाल,बहादुर,तामाङ्ग,Lal,Bahadur,Tamang,"Lal Taman, Lal B. Tamang, Lal Bahadur Taamaang"
1,जसिराम,,सार्की,Jasiram,,Sarki,"Jasiram Sark, Jasiram  Sarki, J. Sarki"
1,देवराज,,तामाङ,Devraj,,Tamang,"Devraj  Tamang, Devraj  Taamaang, Devraj Taman"
1,राम,कुमार,विश्‍वकर्मा,Ram,Kumar,Vishwakarma,"Ram Viswakarma, R. Vishwakarma, Ram K. Vishwakarma"
0,भवानी,,शर्मा,Bhawani,,Sharma,"Bhawani  Sharma, Bhawani Sarma, Bhawani  Shaarmaa"
1,सुरेश,,न्यौपाने,Suresh,,Nyupane,"Suresh  Niupane, Suresh . Nyupane, Suresh  Nyupane"
0,सीता,,तामाङ,Sita,,Tamang,"Sita Tamang, Sita . Tamang, Sita  Tamang"
1,सीता,राम,घिमिरे,Sita,Ram,Ghimire,"Sita Gimire, S. Ghimire, Sita Ghimire"
0,पूनकला,,अर्याल,Poonkala,,Aryal,"Poonkala . Aryal, Poonkala  Aryaal, Poonkala Arya"
0,आशा,देवी,यादव,Asha,Devi,Yadav,"Asha Devi Yaadaav, Asha Yada, A. Yadav"
0,काला,देवी,यादव,Kala,Devi,Yadav,"K. Yadav, Kala D. Yadav, Kala Yadav"
1,चिन्तामणी,शर्मा,घिमिरे,Chintamani,Sharma,Ghimire,"Chintamani Gimire, C. Ghimire, Chintamani S. Ghimire"
0,मिना,,बलामी,Mina,,Balam,"Mina  Baalaam, Mina  Balam, Mina Bala"
0,विष्णु,माया,तामाङ,Vishnu,Maya,Tamang,"Vishnu Maya Taamaang, Vishnu Maya Tamang, Vishnu Taman"
1,टेक,बहादुर,पुन,Tech,Brave,Pun,"Tech B. Pun, Tech Pun, T. Pun"
1,कपलेश्‍वर,,यादव,kapleshwar,,yadav,"kapleshwar . yadav, kapleshwar  iadav, kapleshwar  yaadaav"
1,शंखी,राम,खटिक,Shankhi,Ram,Khatik,"Shankhi Ram Khaatik, Shankhi Khatik, Shankhi Khati"
1,नबिन,कुमार,बैश्य,Nabin,Kumar,Baishya,"Nabin Kumar Baishya, Nabin Baisya, Nabin K. Baishya"
0,सिता,,गजुरेल,Sita,,Gajurel,"Sita  Gajurel, Sita . Gajurel, S. Gajurel"
1,विश्वास,,चेम्जोङ,Vishwas,,Chemjong,"Vishwas Cemjong, Vishwas . Chemjong, V. Chemjong"
1,राम,चन्‍द्र,गौतम,Ram,Chandra,Gautam,"Ram Gautam, Ram Chandra Gautam, Ram Gauta"
1,लपटेन,सिंह,चौधरी,Lt.,Singh,Choudhary,"Lt. Coudary, Lt. Singh Choudhaary, L. Choudhary"
1,डम्बर,बहादुर,मगर,Dumber,Brave,Alligator,"Dumber B. Alligator, Dumber Brave Alligaator, D. Alligator"
1,आशिष,,चौधरी,Ashish,,Chowdhary,"Ashish  Chowdhary, Ashish  Chowdhaary, Ashish . Chowdhary"
1,बिलेक्षण,,मंडल,Bilakshan,,Mandal,"B. Mandal, Bilakshan Manda, Bilakshan . Mandal"
0,श्यानी,माया,थापा,Shyani,Maya,Thapa,"Shyani Maya Thaapaa, Shyani Tapa, S. Thapa"
0,हृदय,कुमारी,संग्रौला,Hridaya,Kumari,Sangraula,"Hridaya Sangraula, Hridaya Kumari Sangraula, Hridaya Kumari Saangraaulaa"
0,गिता,,कोइराला,Geeta,,Koirala,"Geeta Koiral, Geeta  Koirala, Geeta . Koirala"
1,डम्मर,,साउद,Dummer,,Saud,"D. Saud, Dummer Sau, Dummer Saud"
1,प्रशिल,,थापा,Prashil,,Thapa,"Prashil  Thapa, Prashil Thapa, Prashil . Thapa"
0,सेती,माया,प्रजा,Seti,Maya,Praja,"Seti Praja, Seti Maya Praajaa, Seti Praj"
1,अरविन्द,कुमार,उप्रेती,Arvind,Kumar,Upreti,"Arvind Kumar Upreti, Arvind Upreti, Arvind K. Upreti"
0,मलि,,चेमजोङ,Mali,,Chemjong,"M. Chemjong, Mali . Chemjong, Mali Chemjong"
0,रेशमी,,थरुनी,silk,,thruni,"silk  thruni, silk thruni, silk . thruni"
1,सुर,मान,घलान,Sur,Man,Ghalan,"Sur M. Ghalan, Sur Ghalan, Sur Man Ghalan"
1,फौदार,,चौधरी,Faudar,,Chowdhury,"Faudar Chowdhury, Faudar Cowdury, Faudar  Chowdhuri"
1,तक,बहादुर,सुनार,Till,the,goldsmith,"T. goldsmith, Till goldsmit, Till goldsmith"
1,साईलो,,सुनार,Silo,,Goldsmith,"Silo  Goldsmith, Silo Goldsmit, Silo Goldsmith"
1,निवर,,अहिर,Niwar,,Ahir,"N. Ahir, Niwar Air, Niwar Ahir"
1,सन्तोष,,गुरुङ,Santosh,,Gurung,"Santosh . Gurung, Santosh Gurun, Santosh Gurung"
0,कौशिला,,कामी,Kausila,,Kami,"Kausila  Kami, Kausila Kam, Kausila Kami"
1,हरि,,तिमिल्सेना,Hari,,Timilsena,"Hari . Timilsena, Hari Timilsena, H. Timilsena"
1,माइला,,तामाङ,Maila,,Tamang,"M. Tamang, Maila  Taamaang, Maila Taman"
0,गीता,देवी,साह,Geeta,Devi,Shah,"Geeta Sa, Geeta Sha, Geeta Shah"
1,बिधानन,,राय,Bidhan,,Roy,"Bidhan  Roy, Bidhan  Roi, Bidhan Roy"
1,हुब,लाल,वरई,Hub,Lal,Varai,"Hub Varai, H. Varai, Hub Lal Vaaraai"
0,वाङडोमा,,शेर्पा,Wangdoma,,Sherpa,"Wangdoma  Sherpa, Wangdoma Sherpa, Wangdoma . Sherpa"
1,प्रदिप,कुमार,माझी,Pradeep,Kumar,Majhi,"Pradeep Kumar Majhi, Pradeep Maji, P. Majhi"
1,राज,कुमार,गौतम,Raj,Kumar,Gautam,"Raj Kumar Gautam, R. Gautam, Raj Kumar Gaautaam"
1,गोपाल,,लुहार,Gopal,,Luhar,"G. Luhar, Gopal Luar, Gopal Luha"
0,दुर्गा,देवि,जैसी,like,goddess,durga,"l. durga, like goddess durgaa, like g. durga"
1,श्याम,मिलन,यादव,Shyam,Milan,Yadav,"Shyam Milan Yaadaav, S. Yadav, Shyam Milan Yadav"
0,निललक्ष्मी,,लामा,Nilalakshmi,,Lama,"Nilalakshmi Lam, Nilalakshmi  Lama, N. Lama"
1,हरि,लाल,सार्की,Hari,Lal,Sarki,"Hari Lal Sarki, Hari Lal Saarki, Hari L. Sarki"
0,आश,कुमारी,गुरुङ,Aash,Kumari,Guruang,"Aash Kumari Guruang, Aash Guruan, A. Guruang"
0,तारा,देबि,श्रेष्ठ,Tara,Debi,Shrestha,"Tara D. Shrestha, Tara Sresta, Tara Shrestha"
0,आइती,माया,तामाङ,Aaiti,Maya,Tamang,"A. Tamang, Aaiti Taman, Aaiti Maya Taamaang"
1,रामहरख,,मल्लाह,Ramharkh,,Mallah,"Ramharkh . Mallah, Ramharkh Mallah, R. Mallah"
0,कृष्णा,,देवी,krishna,,devi,"krishna  devi, krishna dev, krishna . devi"
0,थुमी,वि,क,Thumi,V,K,"Thumi K, T. K, Thumi V K"
0,राम,कुमारी,चौधरी,Ram,Kumari,Choudhary,"Ram Kumari Choudhaary, Ram Kumari Choudhary, Ram Kumari Choudhari"
1,श्याम,,ताम्राकार,dark,,coppery,"dark  copperi, d. coppery, dark . coppery"
0,इन्दिरा,,कुंवर,Indira,,Kunwar,"Indira . Kunwar, Indira  Kunwar, I. Kunwar"
0,रिता,,घतानी,Rita,,Ghatani,"R. Ghatani, Rita Gatani, Rita . Ghatani"
1,साबिर,अलि,साई,sabir,ali,sai,"sabir ali saai, sabir ali sai, s. sai"
0,बबिता,,रावत,babita,,rawat,"babita rawat, babita  raawaat, babita . rawat"
1,ठगीराम,,चौधरी,Thugiram,,Chowdhary,"Thugiram  Chowdhaary, Thugiram Chowdhar, Thugiram Cowdary"
0,खिन,माया,दाहाल,Khin,Maya,Dahal,"Khin Maya Dahal, Khin Daal, K. Dahal"
1,देव,नारायण,चौधरी,Dev,Narayan,Chowdhary,"D. Chowdhary, Dev Cowdary, Dev Narayan Chowdhari"
0,सरस्वती,,राई,Saraswati,,Rai,"S. Rai, Saraswati Ra, Saraswati  Rai"
1,सुरेश,,विष्ट,Suresh,,Visht,"Suresh Visht, Suresh Vist, Suresh  Visht"
0,गायत्री,,देवी,Gayatri,,Devi,"Gayatri Devi, Gayatri Dev, Gayatri  Devi"
0,चन्द्र,माया,थापा,Chandra,Maya,Thapa,"Chandra Thap, Chandra Maya Thaapaa, Chandra Thapa"
0,कालीका,देवी,खरेल,Kalika,Devi,Kharel,"Kalika Devi Kharel, K. Kharel, Kalika Khare"
1,श्याम,,दर्जी,Shyam,,Tailor,"Shyam Tailor, Shyam Tailo, S. Tailor"
0,सरस्वती,,गौतम,Saraswati,,Gautam,"Saraswati Gauta, Saraswati  Gaautaam, Saraswati Gautam"
0,सिता,,सेढाइ,sita,,sedhayi,"sita  sedhaii, sita sedayi, sita sedhay"
0,मन्जु,देबी,बोकटी,Manju,Debi,Bokati,"Manju D. Bokati, Manju Bokati, M. Bokati"
0,विवि,जुवेदा,मिया,Vivi,Juweda,Mia,"Vivi Juweda Mia, Vivi J. Mia, V. Mia"
1,ओम,कुमार,गुरुङ्ग,Om,Kumar,Gurung,"Om Gurun, Om Gurung, O. Gurung"
1,सावित,राम,खटिक,Savit,Ram,Khatik,"Savit Khati, Savit Ram Khatik, Savit Katik"
1,प्रेम,बहादुर,तमाङ,Prem,Bahadur,Tamang,"Prem Taman, Prem B. Tamang, Prem Bahadur Taamaang"
1,कुबेर,नाथ,तुम्बापो,Kuber,Nath,Tumbapo,"Kuber Nath Tumbaapo, K. Tumbapo, Kuber Tumbapo"
0,ज्ञानी,माया,महर्जन,Giani,Maya,Maharjan,"Giani Maarjan, Giani Maya Maharjan, G. Maharjan"
1,पुजन,कुमार,यादव,Pujan,Kumar,Yadav,"Pujan Yada, Pujan K. Yadav, P. Yadav"
0,भागो,कुमारी,गिरी,Run,Miss,Giri,"Run Miss Giri, Run Gir, R. Giri"
1,नारायण,,महतो,Narayan,,Mahato,"Narayan Maato, Narayan  Mahato, Narayan . Mahato"
0,मन्जु,,थारु,manju,,tharu,"manju  thaaru, manju  tharu, manju tharu"
0,राम,दुलारी,डगौरा,Ram,Dulari,Dagaura,"Ram Dagaur, Ram Dulari Daagaauraa, Ram Dagaura"
1,रण,बहादुर,कुँवर,Ran,Bahadur,Kunwar,"R. Kunwar, Ran B. Kunwar, Ran Kunwar"
0,दिप,कला,कडारा,deepak,,kadara,"deepak  kaadaaraa, deepak . kadara, deepak kadara"
0,शोभा,,लामिछाने,Shobha,,Lamichhane,"Shobha Lamichhane, Shobha Lamicane, Shobha  Laamichhaane"
1,शिव,दत्त,भण्डारी,Shiv,Dutt,Bhandari,"Shiv Dutt Bhandari, Shiv Bandari, Shiv Bhandari"
1,सन्दिप,,थपलिया,Sandeep,,Thapaliya,"S. Thapaliya, Sandeep Tapaliya, Sandeep Thapaliya"
1,महताव,,आलम,mahatav,,alam,"mahatav alam, mahatav . alam, m. alam"
0,लिला,कुमारी,तत्‍मिनी,Leela,Kumari,Tatmini,"Leela Kumari Tatmini, Leela Kumari Taatmini, Leela Tatmin"
1,दीपक,,आचार्य,Deepak,,Acharya,"Deepak Achary, Deepak  Achaaryaa, Deepak Acarya"
0,बिष्णु,कुमारी,तिवारी,Bishnu,Kumari,Tiwari,"Bishnu K. Tiwari, Bishnu Tiwari, Bishnu Kumari Tiwari"
0,शारजाहाँ,,नेशा,Sharjahan,,Nesha,"Sharjahan Nesa, Sharjahan . Nesha, Sharjahan Nesha"
1,पुकार,,महतो,Pukar,,Mahato,"Pukar  Maahaato, Pukar  Mahato, Pukar Mahato"
0,यसोदा,,नेपाल,Yasoda,,Nepal,"Yasoda  Nepaal, Yasoda . Nepal, Yasoda Nepa"
0,निर्मला,,महरा,Nirmala,,Mehra,"Nirmala  Mehraa, Nirmala  Mehra, Nirmala Mehra"
1,अनिल,,मोक्तान,Anil,,Moktan,"Anil Moktan, Anil  Moktan, Anil . Moktan"
1,पुर्ण,बहादुर,चन्द,Purna,Bahadur,Chand,"Purna Cand, P. Chand, Purna Chand"
1,गोविन्द,प्रसाद,तमोली,govind,prasad,tamoli,"g. tamoli, govind tamoli, govind prasad tamoli"
0,सेल्गु,,तामाङ,selgu,,tamang,"selgu . tamang, selgu  taamaang, selgu taman"
0,मुर्ती,देवि,साह,Murti,Devi,Sah,"Murti Devi Saah, Murti Sah, M. Sah"
1,रोशन,,भण्डारी,Roshan,,Bhandari,"Roshan . Bhandari, R. Bhandari, Roshan  Bhaandaari"
0,मिना,,खड्का,Mina,,Khadka,"Mina . Khadka, Mina Kadka, Mina  Khaadkaa"
1,ललीत,प्रसाद,पौडेल,Lalit,Prasad,Paudel,"Lalit Prasad Paudel, L. Paudel, Lalit Prasad Paaudel"
1,आश,राज,तुम्बापो,Aash,Raj,Tumbapo,"A. Tumbapo, Aash Tumbap, Aash Tumbapo"
0,हेम,कुमारी,तामाङ,hem,kumari,tamang,"h. tamang, hem tamang, hem taman"
0,सन्च,माया,लामा,sancha,maya,lama,"sancha maya lama, sancha lam, sancha m. lama"
0,धर्मशिला,,देवी,Dharmshila,,Devi,"Dharmshila Devi, Dharmshila  Devi, D. Devi"
1,डोर,बहादुर,मगर,Dor,Bahadur,Magar,"Dor Bahadur Maagaar, Dor Bahadur Magar, Dor B. Magar"
1,कमला,कान्‍त,झा,Kamla,Kant,Jha,"K. Jha, Kamla K. Jha, Kamla Ja"
0,जयन्ति,,थरुनी,jayanti,,tharuni,"jayanti tharuni, j. tharuni, jayanti  tharuni"
1,श्रीजेश,,पटेल,Sreejesh,,Patel,"Sreejesh  Patel, Sreejesh . Patel, S. Patel"
0,लुखिया,देवी,यादव,Lukhiya,Devi,Yadav,"L. Yadav, Lukhiya Yadav, Lukhiya D. Yadav"
0,धनसरा,,बिष्‍ट,Dhansara,,Bisht,"Dhansara Bisht, Dhansara Bist, D. Bisht"
1,राजु,,थारु,raju,,tharu,"raju thar, raju tharu, raju . tharu"
0,अएनब,,खातुन,Aynab,,Khatun,"A. Khatun, Aynab Khatu, Aynab Katun"
0,अर्चना,,देवी,archana,,devi,"archana . devi, a. devi, archana dev"
1,मनोज,कुमार,सिंह,Manoj,Kumar,Singh,"M. Singh, Manoj K. Singh, Manoj Kumar Singh"
1,होम,बहादुर,"वि,क,",Home,brave,"vik,","H. vik,, Home b. vik,, Home vik,"
0,हरिमाया,,दहाल,Harimaya,,Dahal,"Harimaya . Dahal, Harimaya  Daahaal, Harimaya Daha"
0,फुल,कुमारी,शेर्मा,Full,Kumari,Sharma,"F. Sharma, Full Sarma, Full Sharm"
1,राम,औतार,बढई,Ram,Avtar,Carpenter,"Ram A. Carpenter, Ram Carpenter, R. Carpenter"
1,गोविन्द,,राना,govind,,rana,"govind  rana, govind rana, govind  raanaa"
0,सृजना,,चौधरी,Srijana,,Chaudhary,"Srijana Caudary, Srijana Chaudhary, Srijana  Chaaudhaary"
1,सुदन,मान,डंगोल,Sudan,Maan,Dangol,"S. Dangol, Sudan Maan Daangol, Sudan Dango"
1,अम्वर,बहादुर,प्रधान,Amwar,Bahadur,Pradhan,"Amwar Pradan, Amwar B. Pradhan, Amwar Pradha"
1,चुलाइ,,दास,Chulai,,Das,"Chulai Das, Chulai Da, Chulai  Das"
0,सागैर,देवी,मण्‍डल,Sagair,Devi,Mandal,"Sagair Devi Mandal, Sagair Manda, Sagair Mandal"
1,जय,राम,गोडिया,Jai,Ram,Godiya,"Jai Ram Godiia, Jai Ram Godiya, Jai Godiya"
1,अमर,,श्रेष्ठ,Amar,,Shrestha,"Amar Shresth, Amar  Shresthaa, Amar Sresta"
1,मान,बहादुर,क्षेत्री,Maan,Bahadur,Kshetri,"Maan B. Kshetri, Maan Ksetri, Maan Kshetri"
0,भदवी,,अधिकारी,Bhadwi,,Officer,"Bhadwi  Officer, Bhadwi . Officer, Bhadwi Officer"
0,रमिला,,गुरुङ,Ramila,,Gurung,"Ramila Gurung, Ramila . Gurung, Ramila Gurun"
1,दिपक,,लामा,Deepak,,Lama,"Deepak . Lama, Deepak  Lama, D. Lama"
1,देवेन्द्र,,चौधरी,Devendra,,Chowdhary,"D. Chowdhary, Devendra  Chowdhaary, Devendra  Chowdhari"
1,सोम,,लामा,Mon,,Lama,"Mon  Lama, M. Lama, Mon  Laamaa"
0,विष्णु,माया,तिम्सिना,Vishnu,Maya,Timsina,"Vishnu Maya Timsinaa, V. Timsina, Vishnu Timsina"
0,झुमा,,कामी,Jhuma,,Kami,"J. Kami, Jhuma Kam, Jhuma Kami"
1,परशुराम,,वराकोटी,Parashuram,,Varakoti,"Parashuram  Vaaraakoti, P. Varakoti, Parashuram . Varakoti"
0,शिव,कुमारी,यादव,Shiv,Kumari,Yadav,"S. Yadav, Shiv Yada, Shiv Yadav"
1,मोहन,प्रसाद,लामिछाने,Mohan,Prasad,Lamichhane,"Mohan Lamichhane, Mohan P. Lamichhane, Mohan Lamichhan"
1,फुर्पासाङ,,शेर्पा,phurpasang,,sherpa,"phurpasang . sherpa, p. sherpa, phurpasang sherp"
0,सिर्जना,,मानन्धर,Creation,,Manandhar,"Creation Manandha, Creation  Maanaandhaar, C. Manandhar"
0,तोफीका,,खातुन,tofiqa,,khatun,"t. khatun, tofiqa  khatun, tofiqa katun"
1,मोहम्मद,,सावीर,mohammad,,sawir,"mohammad sawi, mohammad . sawir, mohammad  sawir"
1,जयराम,,पटेल,Jairam,,Patel,"Jairam Patel, Jairam  Paatel, Jairam . Patel"
0,सरिता,झाक्री,घर्ती,Sarita,Jhakri,Gharti,"S. Gharti, Sarita J. Gharti, Sarita Gharti"
0,निर्मला,,थापा,Nirmala,,Thapa,"Nirmala  Thaapaa, Nirmala Thapa, N. Thapa"
0,राधा,,पौड्याल,Radha,,Paudyal,"Radha Paudya, Radha  Paaudyaal, R. Paudyal"
0,हसना,,श्रेष्‍ठ,Hasna,,Shrestha,"Hasna Shresth, H. Shrestha, Hasna . Shrestha"
1,सुरेश,कुमार,दास,Suresh,Kumar,Das,"Suresh Das, S. Das, Suresh Kumar Daas"
1,ज्ञान,बहादुर,कालुङ्ग,Gyan,Bahadur,Kalung,"Gyan Kalung, Gyan Bahadur Kaalung, Gyan B. Kalung"
1,मदन,बहादुर,विष्ट,Madan,Bahadur,Visht,"M. Visht, Madan Visht, Madan Bahadur Visht"
0,ऐनुल,,नेसा,Ainul,,Nesa,"Ainul  Nesaa, A. Nesa, Ainul Nes"
0,भिमकला,,थापा,Bhimkala,,Thapa,"Bhimkala . Thapa, Bhimkala Thapa, Bhimkala Tapa"
1,जामुन,साह,बनिया,Jamun,Sah,Baniya,"Jamun Baniya, Jamun Sah Baniia, J. Baniya"
0,बुन्दिया,,चौधरी,Bundia,,Chowdhary,"Bundia Chowdhar, Bundia Cowdary, B. Chowdhary"
0,इन्दिरा,,साह,indira,,sah,"i. sah, indira sa, indira . sah"
0,आयुष्मा,,अधिकारी,Ayushma,,Officer,"Ayushma Office, Ayushma Officer, Ayushma  Officer"
0,सरस्वती,,घिमिरे,Saraswati,,Ghimire,"Saraswati Gimire, S. Ghimire, Saraswati Ghimire"
0,लालपरी,,देवी,Lalpari,,Devi,"Lalpari . Devi, L. Devi, Lalpari Devi"
1,सन्‍तोष,कुमार,शर्मा,Santosh,Kumar,Sharma,"Santosh Sharm, Santosh Kumar Shaarmaa, Santosh Kumar Sharma"
